1023001,VE3THW,Wayne,,CAN
1023002,VA3ECM,Mathieu,,CAN
1023003,VE3QC,Guy,,CAN
1023007,VA3BOC,Hans,,CAN
1023008,VE3JMR,Mark,,CAN
1023009,VA3AMO,Rolando,,CAN
1023010,VA3AMO,Rolando,,CAN
1023014,VA3DB,Diane,,CAN
1023016,VE3IAO,John,,CAN
1023017,VA3MSV,John,,CAN
1023018,VA3BTQ,Jacqualine,,CAN
1023019,VA3BTQ,Jacqualine,,CAN
1023020,VE3ZXN,Denis,,CAN
1023021,VE3ZXN,Denis,,CAN
1023023,VA3TDG,Douglas,,CAN
1023025,VA3ZDX,Gregory,,CAN
1023028,VA3API,Kevin,,CAN
1023030,VE3OZT,Alexander,,CAN
1023031,VA3PMR,Perry,,CAN
1023032,VE3TJD,Tedd,,CAN
1023033,VE3YES,Andrew,,CAN
1023034,VE3KPB,Paul,,CAN
1023035,VE3WFR,William,,CAN
1023036,VE3UOD,Richard,,CAN
1023037,VA3RMP,Rejean,,CAN
1023038,VE3MMX,Michael,,CAN
1023039,VA3API,Kevin,,CAN
1023044,VE3MTS,Frederick,,CAN
1023047,VE3CVJ,Colin,,CAN
1023048,VA3DCE,Douglas,,CAN
1023049,VE3VGJ,Joseph,,CAN
1023050,VA3FNI,Aaron,,CAN
1023051,VE3DCC,Richard,,CAN
1023052,VA3FNI,Aaron,,CAN
1023055,VA3HT,Teddy,,CAN
1023059,VE3VGN,Vaughan,,CAN
1023060,VE3VGN,Vaughan,,CAN
1023062,VA3JCL,Julio,,CAN
1023063,VA3JCL,Julio,,CAN
1023064,VA3CQB,Stephen,,CAN
1023066,VA3RHW,Norman,,CAN
1023068,VE3RBO,Ruth,,CAN
1023069,VE3LJL,Luc,,CAN
1023070,VA3GHI,Bogdan,,CAN
1023071,VA3DBL,David,,CAN
1023072,VE3WMZ,Bill,,CAN
1023074,VE3LTB,Brian,,CAN
1023076,VE3LJL,Luc,,CAN
1023078,VA3TSE,Thomas,,CAN
1023079,VE3XBH,Brian,,CAN
1023080,VE3MDN,Mark,,CAN
1023081,VE3SOI,James,,CAN
1023082,VA3SDF,Robert,,CAN
1023083,VE3JSO,Jamie,,CAN
